Qty,PartNumber,ID_Number,Manf,Manf PN,Description
50,1173-1058-1-ND,BALUN 6 W7,Anaren,BD0826J50200AHF,Balun 800MHz-2.6GHz 50ohm/200ohm Anaren BD0826J50200AHF
300,1276-1032-1-ND,CAPC-0402 1000pF 50V J1,Samsung,CL05B102KB5NNNC,Cap ceramic 1000pF 50V 10% X7R 0402 Samsung CL05B102KB5NNNC
300,478-1114-1-ND,CAPC-0402 0.01uF 16V B4,AVX,0402YC103KAT2A,Cap ceramic 0.01uF 16V 10% X7R 0402 AVX 0402YC103KAT2A
300,490-1318-1-ND,CAPC-0402 0.1uF 10V B1,Murata,GRM155R61A104KA01D,Cap ceramic 0.1uF 10V 10% X5R 0402 Murata GRM155R61A104KA01D
300,478-1412-1-ND,CAPC-0805 1uF 10V L4,AVX,0805ZD105KAT2A,Cap ceramic 1uF 10V 10% X5R 0805 AVX 0805ZD105KAT2A
300,445-1426-1-ND,CAPC-1206 10uF 16V J7,TDK,C3216X5R1C106M160AA,Cap ceramic 10uF 16V 20% X5R 1206 TDK C3216X5R1C106M160AA
300,587-3152-1-ND,CAPC-1210 100uF 16V U7,Taiyo Yuden,EMK325ABJ107MM-T,Cap ceramic 100uF 16V 20% X5R 1210 Taiyo Yuden EMK325ABJ107MM-T
40,A122848-ND,CON-025 1 U4,TE ,4-103327-3,Con 1 pin 100 mil 1x1 str male TE 4-103327-3
200,ACX1962-ND,CON-RF SMA L5,Amphenol RF,132134-15,Con SMA female jack str 50 ohm 12GHz  PCB THT-SMT Amphenol RF 132134-15
70,296-48831-1-ND,IC SN74AXC8T245PWR R1,Texas Instruments,SN74AXC8T245PWR,IC SN74AXC8T245PWR level translator TSSOP-24 TI SN74AXC8T245PWR
40,36-5003-ND,TEST-PT 1 B8,Keystone,5003,Test point loop mini 40mil dia hole orange Keystone 5003
40,36-5000-ND,TEST-PT 1 W6,Keystone,5000,Test point loop mini 40mil dia hole red Keystone 5000
40,36-5004-ND,TEST-PT 1 F8,Keystone,5004,Test point loop mini 40mil dia hole yellow Keystone 5004
100,36-5001-ND,TEST-PT 1 K5,Keystone,5001,Test point loop mini 40mil dia hole black Keystone 5001
38,SAM8730-ND,CON-FMC 400 plug P1,Samtec,ASP-134488-01,Con 400 pin 1.27mm FMC VITA 57 male plug 10mm stkd ht Samtec ASP-134488-01
