Qty,PartNumber,ID_Number,Manf,Manf PN,Description
"8","399-8947-1-ND","CAPC-0402 15pF 16V U2","Kemet","C0402C150J4GACTU","Cap ceramic 15pF 16V 5% COG NPO 0402 Kemet C0402C150J4GACTU"
"8","399-14270-1-ND","CAPC-0402 150pF 50V R5","Kemet","C0402C151K5GAC7867","Cap ceramic 150pF 50V 10% COG NPO 0402 Kemet C0402C151K5GAC7867"
"8","1276-1547-1-ND","CAPC-0402 3300pF 25V D4","Samsung","CL05B332JA5NNNC","Cap ceramic 3300pF 25V 5% X7R 0402 Samsung CL05B332JA5NNNC"
"1000","490-1318-1-ND","CAPC-0402 0.1uF 10V B1","Murata","GRM155R61A104KA01D","Cap ceramic 0.1uF 10V 10% X5R 0402 Murata GRM155R61A104KA01D"
"8","399-4886-1-ND","CAPC-0402 0.22uF 6.3V L4","Kemet","C0402C224K9PAC7867","Cap ceramic 0.22uF 6.3V 10% X5R 0402 Kemet C0402C224K9PAC7867"
"400","587-1256-1-ND","CAPC-0603 10uF 6.3V P5","Taiyo Yuden","JMK107BJ106MA-T","Cap ceramic 10uF 6.3V 20% X5R 0603 Taiyo Yuden JMK107BJ106MA-T"
"8","SAM8730-ND","CON-FMC 400 plug P1","Samtec","ASP-134488-01","Con 400 pin 1.27mm FMC VITA 57 male plug 10mm stkd ht Samtec ASP-134488-01"
"50","J10154CT-ND","CON-RF SMA M2","Cinch","142-0711-202","Con SMA female jack str 50 ohm18GHz  PCB SMT Cinch 142-0711-202"
"8","WM11190CT-ND","CON uSD P3","Molex","5033981892","Con uSD card recp Molex 5033981892"
"8","SER3708DKR-ND","CRY-OSC 50MHz L6","Epson","SG-210SED50.0000ML3","Osc 50MHz Epson SG210SED50.0000ML3"
"8","DSC1103CI5-300.0000-ND","CRY-OSC 300MHz F6","Microchip","DSC1103CI5-300.0000","Osc 300MHz LVDS 6-pin Microchip DSC1103CI5-300.0000"
"8","NB7V58MMNG-ND","IC NB7V58M B2","ON Semiconductor","NB7V58MMNG","IC NB7V58M LVDS clock multiplexer 2:1 QFN-16 ON NB7V58MMNG"
"30","296-29041-1-ND","IC SN74AVC4T234 N2","Texas Instruments","SN74AVC4T234ZSUR","IC SN74AVC4T234 level shifter 4-ch unidirectional uCSP-11 TI SN74AVC4T234ZSUR"
"24","LT3022EMSE#PBF-ND","IC LT3022 N5","Linear Technology","LT3022EMSE#PBF","IC LT3022 adj LDO regulator 1A MSOP-EP-16 Linear Tech LT3022EMSE#PBF"
"8","296-10898-1-ND","IC TPS3125 C3","Texas Instruments","TPS3125J18DBVR","IC TPS3125 1.62V supply monitor (POR generator) TI TPS3125J18DBVR"
"8","AD9516-4BCPZ-ND","IC AD9516-4 A3","Analog Devices","AD9516-4BCPZ","IC AD9516-4 14-output clock generator LFCSP-64 ADI AD9516-4BCPZ"
"8","568-12882-1-ND","IC PCA9846 M6","NXP","PCA9846PWJ","IC PCA9846 bus switch 4-channel TSSOP-16 NXP PCA9846PWJ"
"8","497-8618-1-ND","IC M24128 M6","ST Microelectronics","M24128-BRDW6TP","IC M24128 128Kb (16K x 8) I2C 1MHz EEPROM TSSOP-8 ST M24128-BRDW6TP"
"40","296-28830-1-ND","IC TPS62361 A8","Texas Instruments","TPS62361BYZHR","IC TPS62361 buck switching reg pos adj BGA-16 TI TPS62361BYZHR"
