Qty,PartNumber,ID_Number,Manf,Manf PN,Description
"300","490-1318-1-ND","CAPC-0402 0.1uF 10V B1","Murata","GRM155R61A104KA01D","Cap ceramic 0.1uF 10V 10% X5R 0402 Murata GRM155R61A104KA01D"
"300","587-1256-1-ND","CAPC-0603 10uF 6.3V P5","Taiyo Yuden","JMK107BJ106MA-T","Cap ceramic 10uF 6.3V 20% X5R 0603 Taiyo Yuden JMK107BJ106MA-T"
"8","SAM1029-02-ND","CON-025 2 A5","Samtec","TSW-102-07-G-S","Con 2 pin 100 mil 1x2 str male thru 0.230"" post height Samtec ?TSW-102-07-G-S?"
"8","SAM1030-03-ND","CON-025 6 T8","Samtec","TSW-103-07-L-D","Con 6 pin 100 mil 2x3 str male thru 0.230"" post height Samtec ?TSW-103-07-L-D??"
"8","SAM1030-04-ND","CON-025 8 V2","Samtec","TSW-104-07-L-D","Con 8 pin 100 mil 2x4 str male thru 0.230"" post height Samtec ?TSW-104-07-L-D?"
"8","SAM8730-ND","CON-FMC 400 plug P1","Samtec","ASP-134488-01","Con 400 pin 1.27mm FMC VITA 57 male plug 10mm stkd ht Samtec ASP-134488-01"
"16","36-575-4-ND","CON-PWR 1 K8","Keystone","575-4","Con 1 pin banana jack solderable Keystone 575-4"
"50","J10154CT-ND","CON-RF SMA M2","Cinch","142-0711-202","Con SMA female jack str 50 ohm 18GHz  PCB SMT Cinch 142-0711-202"
"8","WM11190CT-ND","CON uSD P3","Molex","5033981892","Con uSD card recp Molex 5033981892"
"8","DSC1103CI5-300.0000-ND","CRY-OSC 300MHz F6","Microchip","DSC1103CI5-300.0000","Osc 300MHz LVDS 6-pin Microchip DSC1103CI5-300.0000"
"8","NB7V58MMNG-ND","IC NB7V58M B2","ON Semiconductor","NB7V58MMNG","IC NB7V58M LVDS clock multiplexer 2:1 QFN-16 ON NB7V58MMNG"
"20","296-29041-1-ND","IC SN74AVC4T234 N2","Texas Instruments","SN74AVC4T234ZSUR","IC SN74AVC4T234 level shifter 4-ch unidirectional uCSP-11 TI SN74AVC4T234ZSUR"
"16","LT3022EMSE#PBF-ND","IC LT3022 N5","Linear Technology","LT3022EMSE#PBF","IC LT3022 adj LDO regulator 1A MSOP-EP-16 Linear Tech LT3022EMSE#PBF"
"8","296-10898-1-ND","IC TPS3125 C3","Texas Instruments","TPS3125J18DBVR","IC TPS3125 1.62V supply monitor (POR generator) TI TPS3125J18DBVR"
"8","497-8618-1-ND","IC M24128 M6","ST Microelectronics","M24128-BRDW6TP","IC M24128 128Kb (16K x 8) I2C 1MHz EEPROM TSSOP-8 ST M24128-BRDW6TP"
"20","587-2897-1-ND","IND-0603 1uH 650mA P8","Taiyo Yuden","BRL1608T1R0M","Inductor 1uH  650mA 0603 Taiyo Yuden BRL1608T1R0M"
"30","P200LCT-ND","R1%-0402 200 C8","Panasonic","ERJ-2RKF2000X","Res 200 1% 1/10W 0402 Panasonic ERJ-2RKF2000X"
"8","P698LCT-ND","R1%-0402 698 F8","Panasonic","ERJ-2RKF6980X","Res 698 1% 1/10W 0402 Panasonic ERJ-2RKF6980X"
"40","P16.0KLCT-ND","R1%-0402 16K C7","Panasonic","ERJ-2RKF1602X","Res 16K 1% 1/10W 0402 Panasonic ERJ-2RKF1602X"
"40","311-100KLRCT-ND","R1%-0402 100K V8","Yageo","RC0402FR-07100KL","Res 100K 1% 1/16W 0402 Yageo RC0402FR-07100KL"
"20","P3.9KJCT-ND","R5%-0402 3.9K N1","Panasonic","ERJ-2GEJ392X","Res 3.9K 5% 1/10W 0402 Panasonic ERJ-2GEJ392X"
"20","P0.0GCT-ND","RES 0 L1","Panasonic","ERJ-3GEY0R00V","Res 0 1/10W 0603 Panasonic ERJ-3GEY0R00V"
"8","EG4374CT-ND","SW SPST-NO C1","E-switch","TL3301AF160QJ","Switch momentary SPST-NO tactile 4 pin  6mm SMT E-Switch TL3301AF160QJ"
"8","732-6954-1-ND","SW DIP-1 C4","Wurth","418121160801","Switch DIP1 position, 2 pin, SPST SMT Wurth 418121160801"
"30","36-5006-ND","TEST-PT 1 M8","Keystone","5006","Test point loop 63mil dia hole black Keystone 5006"
"8","36-5005-ND","TEST-PT 1 F7","Keystone","5005","Test point loop 63mil dia hole red Keystone 5005"
