Qty,PartNumber,ID_Number,Manf,Manf PN,Description
"200","1276-1443-1-ND","CAPC-0402 0.1uF 10V K3","Samsung","CL05A104MP5NNNC","Cap ceramic 0.1uF 10V 20% X5R 0402 Samsung CL05A104MP5NNNC"
"70","587-1256-1-ND","CAPC-0603 10uF 6.3V P5","Taiyo Yuden","JMK107BJ106MA-T","Cap ceramic 10uF 6.3V 20% X5R 0603 Taiyo Yuden JMK107BJ106MA-T"
"5","SAM11058-ND","CON-025 10 W2","Samtec","EJH-105-02-L-D-SM-LC","Con 10 pin 100 mil 2x5 str male shrouded w/locking clip & ejector tabs, SMT Samtec EJH-105-02-L-D-SM-LC"
"5","SAM8730-ND","CON-FMC 400 plug P1","Samtec","ASP-134488-01","Con 400 pin 1.27mm FMC VITA 57 male plug 10mm stkd ht Samtec ASP-134488-01"
"10","WM9458-ND","CON-RF SMA J7","Molex","0732511352","Con SMA female jack str 50 ohm18GHz  PCB SMT Molex 0732511352"
"5","WM11190CT-ND","CON uSD P3","Molex","5033981892","Con uSD card recp Molex 5033981892"
"5","DSC1103CI1-200.0000-ND","CRY-OSC 200MHz R1","Microchip","DSC1103CI1-200.0000","Osc 200MHz  50ppm LVDS 6-pin Microchip DSC1103CI1-200.0000"
"5","NB7V58MMNG-ND","IC NB7V58M B2","ON Semiconductor","NB7V58MMNG","IC NB7V58M LVDS clock multiplexer 2:1 QFN-16 ON NB7V58MMNG"
"20","296-29041-1-ND","IC SN74AVC4T234 N2","Texas Instruments","SN74AVC4T234ZSUR","IC SN74AVC4T234 level shifter 4-ch unidirectional uCSP-11 TI SN74AVC4T234ZSUR"
"10","LT3022EMSE#PBF-ND","IC LT3022 N5","Linear Technology","LT3022EMSE#PBF","IC LT3022 adj LDO regulator 1A MSOP-EP-16 Linear Tech LT3022EMSE#PBF"
"5","296-10898-1-ND","IC TPS3125 C3","Texas Instruments","TPS3125J18DBVR","IC TPS3125 1.62V supply monitor (POR generator) TI TPS3125J18DBVR"
"10","587-2897-1-ND","IND-0603 1uH 650mA P8","Taiyo Yuden","BRL1608T1R0M","Inductor 1uH  650mA 0603 Taiyo Yuden BRL1608T1R0M"
"20","P200LCT-ND","R1%-0402 200 C8","Panasonic","ERJ-2RKF2000X","Res 200 1% 1/10W 0402 Panasonic ERJ-2RKF2000X"
"5","P604LCT-ND","R1%-0402 604 T2","Panasonic","ERJ-2RKF6040X","Res 604 1% 1/10W 0402 Panasonic ERJ-2RKF6040X"
"20","P16.0KLCT-ND","R1%-0402 16K C7","Panasonic","ERJ-2RKF1602X","Res 16K 1% 1/10W 0402 Panasonic ERJ-2RKF1602X"
"50","311-100KLRCT-ND","R1%-0402 100K V8","Yageo","RC0402FR-07100KL","Res 100K 1% 1/16W 0402 Yageo RC0402FR-07100KL"
"10","P0.0GCT-ND","RES 0 L1","Panasonic","ERJ-3GEY0R00V","Res 0 1/10W 0603 Panasonic ERJ-3GEY0R00V"
"5","732-6954-1-ND","SW DIP-1 C4","Wurth","418121160801","Switch DIP1 position, 2 pin, SPST SMT Wurth 418121160801"
"5","EG4374CT-ND","SW SPST-NO C1","E-switch","TL3301AF160QJ","Switch momentary SPST-NO tactile 4 pin  6mm SMT E-Switch TL3301AF160QJ"
"20","36-5006-ND","TEST-PT 1 M8","Keystone","5006","Test point loop 63mil dia hole black Keystone 5006"
