Find#,Part Number,Count,RefDes,Package,Decal,Desc,Vend,VendPN,Manf,ManfPN,PSID
1,"BW-244-552","2","","UNASSIGNED","UNASSIGNED","Antenna 2.4GHz R/A SMA Taoglas GW.26.0112","Digi-Key","931-1119-ND","Taoglas","GW.26.0112",""
2,"BW-399-799","25","","0603","0603","Cap ceramic 1.8pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C189B5GAC","Digi-Key","399-17533-1-ND","Kemet","CBR06C189B5GAC",""
3,"BW-096-113","25","","0603","0603","Cap ceramic 2.5pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C259B5GAC","Digi-Key","399-16159-1-ND","Kemet","CBR06C259B5GAC",""
4,"BW-353-790","25","","0603","0603","Cap ceramic 3.3pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C339B5GAC","Digi-Key","399-CBR06C339B5GACCT-ND","Kemet","CBR06C339B5GAC",""
5,"BW-554-177","25","","0603","0603","Cap ceramic 3.7pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C379B5GAC","Digi-Key","399-16177-1-ND","Kemet","CBR06C379B5GAC",""
6,"BW-279-321","25","","0603","0603","Cap ceramic 4pF 50V +-0.25pF COG/NPO 0603 Kemet CBR06C409C5GAC","Digi-Key","399-CBR06C409C5GACCT-ND","Kemet","CBR06C409C5GAC",""
7,"BW-949-233","25","","0603","0603","Cap ceramic 4.5pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C459B5GAC","Digi-Key","399-16189-1-ND","Kemet","CBR06C459B5GAC",""
8,"BW-385-334","25","","0603","0603","Cap ceramic 5.1pF 250V +-0.25pF COG/NPO 0603 Johanson 251R14S5R1CV4T","Digi-Key","712-1359-1-ND","Johanson Dielectrics ","251R14S5R1CV4T",""
9,"BW-219-248","25","","0603","0603","Cap ceramic 5.3pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C539B5GAC","Digi-Key","399-16203-1-ND","Kemet","CBR06C539B5GAC",""
10,"BW-092-033","25","","0603","0603","Cap ceramic 6.3pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C639B5GAC","Digi-Key","399-16223-1-ND","Kemet","CBR06C639B5GAC",""
11,"BW-528-951","25","","0603","0603","Cap ceramic 7pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C709B5GAC","Digi-Key","399-CBR06C709B5GACCT-ND","Kemet","CBR06C709B5GAC",""
12,"BW-919-191","25","","0603","0603","Cap ceramic 7.5pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C759B5GAC","Digi-Key","399-16247-1-ND","Kemet","CBR06C759B5GAC",""
13,"BW-272-590","25","","0603","0603","Cap ceramic 8pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C809B5GAC","Digi-Key","399-CBR06C809B5GACCT-ND","Kemet","CBR06C809B5GAC",""
