Qty,PartNumber,ID_Number,Manf,Manf PN,Description
2,931-1119-ND,ATEN 2.4GHz L5,Taoglas,GW.26.0112,Antenna 2.4GHz R/A SMA Taoglas GW.26.0112
30,399-17533-1-ND,CAPC-0603 1.8pF 50V H3,Kemet,CBR06C189B5GAC,Cap ceramic 1.8pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C189B5GAC
30,399-16159-1-ND,CAPC-0603 2.5pF 50V V8,Kemet,CBR06C259B5GAC,Cap ceramic 2.5pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C259B5GAC
30,399-CBR06C339B5GACCT-ND,CAPC-0603 3.3pF 50V V6,Kemet,CBR06C339B5GAC,Cap ceramic 3.3pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C339B5GAC
30,399-16177-1-ND,CAPC-0603 3.7pF 50V R1,Kemet,CBR06C379B5GAC,Cap ceramic 3.7pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C379B5GAC
30,399-CBR06C409C5GACCT-ND,CAPC-0603 4pF 50V W8,Kemet,CBR06C409C5GAC,Cap ceramic 4pF 50V +-0.25pF COG/NPO 0603 Kemet CBR06C409C5GAC
30,399-16189-1-ND,CAPC-0603 4.5pF 50V P3,Kemet,CBR06C459B5GAC,Cap ceramic 4.5pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C459B5GAC
30,712-1359-1-ND,CAPC-0603 5.1pF 250V U3,Johanson Dielectrics ,251R14S5R1CV4T,Cap ceramic 5.1pF 250V +-0.25pF COG/NPO 0603 Johanson 251R14S5R1CV4T
30,399-16203-1-ND,CAPC-0603 5.3pF 50V R3,Kemet,CBR06C539B5GAC,Cap ceramic 5.3pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C539B5GAC
30,399-16223-1-ND,CAPC-0603 6.3pF 50V K7,Kemet,CBR06C639B5GAC,Cap ceramic 6.3pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C639B5GAC
30,399-CBR06C709B5GACCT-ND,CAPC-0603 7pF 50V R6,Kemet,CBR06C709B5GAC,Cap ceramic 7pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C709B5GAC
30,399-16247-1-ND,CAPC-0603 7.5pF 50V V2,Kemet,CBR06C759B5GAC,Cap ceramic 7.5pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C759B5GAC
30,399-CBR06C809B5GACCT-ND,CAPC-0603 8pF 50V W2,Kemet,CBR06C809B5GAC,Cap ceramic 8pF 50V +-0.1pF COG/NPO 0603 Kemet CBR06C809B5GAC
25,732-6251-1-ND,IND-0603 1nH 600mA E1,Wurth,744786010A,Inductor 1nH +-0.3nH 600 mA 0603 50 mohms Wurth 744786010A
25,732-6252-1-ND,IND-0603 1.2nH 600mA V1,Wurth,744786012A,Inductor 1.2nH +-0.3nH 600 mA 0603 50 mohms Wurth 744786012A
25,732-6253-1-ND,IND-0603 1.5nH 600mA H4,Wurth,744786015A,Inductor 1.5nH +-0.3nH 600 mA 0603 100 mohms Wurth 744786015A
25,732-6254-1-ND,IND-0603 1.8nH 600mA W3,Wurth,744786018A,Inductor 1.8nH +-0.3nH 600 mA 0603 100 mohms Wurth 744786018A
25,732-6255-1-ND,IND-0603 2.2nH 600mA H8,Wurth,744786022A,Inductor 2.2nH +-0.3nH 600 mA 0603 100 mohms Wurth 744786022A
25,490-14721-1-ND,IND-0603 2.4nH 2.4A R4,Murata,LQW18AN2N4C80D,Inductor 2.4nH +-0.2nH 2.4 A 0603 260 mohms Murata LQW18AN2N4C80D
25,732-6256-1-ND,IND-0603 2.7nH 600mA M5,Wurth,744786027A,Inductor 2.7nH +-0.3nH 600 mA 0603 120 mohms Wurth 744786027A
25,490-15686-1-ND,IND-0603 3nH 670mA G6,Murata,LQW18AN3N0C8ZD,Inductor 3nH +-0.2nH 670 mA 0603 170 mohms Murata LQW18AN3N0C8ZD
25,732-6257-1-ND,IND-0603 3.3nH 600mA D2,Wurth,744786033A,Inductor 3.3nH +-0.3nH 600 mA 0603 150 mohms Wurth 744786033A
30,732-744761036ACT-ND,IND-0603 3.6nH 700mA D7,Wurth,744761036A,Inductor 3.6nH +-0.2nH 600 mA 0603 50 mohms Wurth 744761036A
25,490-15687-1-ND,IND-0603 3.9nH 2.2A G3,Murata,LQW18AN3N9B8ZD,Inductor 3.9nH +-0.1nH 2.2 A 0603 28 mohms Murata LQW18AN3N9B8ZD
25,490-15703-1-ND,IND-0603 4.2nH 2.2A F5,Murata,LQW18AN4N2C8ZD,Inductor 4.2nH +-0.2nH 2.2 A 0603 28 mohms Murata LQW18AN4N2C8ZD
25,490-15710-1-ND,IND-0603 4.7nH 1.5A U5,Murata,LQW18AN4N7G8ZD,Inductor 4.7nH 2% 1.5 A 0603 54 mohms Murata LQW18AN4N7G8ZD
25,490-15712-1-ND,IND-0603 4.9nH 1.2A F2,Murata,LQW18AN4N9C8ZD,Inductor 4.7nH 2% 1.5 A 0603 54 mohms Murata LQW18AN4N7G8ZD
25,490-15842-1-ND,IND-0603 5.1nH 700mA R7,Murata,LQW18AS5N1G0ZD,Inductor 5.1nH 2% 700 mA 0603 140 mohms Murata LQW18AS5N1G0ZD
