@PART-LIST		Part List Assembly asmy
ATEN			Antenna Atna
BAT			Battery batt
BULB			Bulbs
CAB     		Cable Supplies Shields
CAB-FFC		Cable Flex Flat
CAB-MULTI		Cable Multiwire Twisted Pair
CAB-RIBBON		Cable Ribbon
CAB-TIE		Cable tie 
CABASM-AC		Cable Assembly AC
CABASM-DC		Cable Assembly DC
CABASM-CUST	Cable Assembly Custom
CABASM-DATA	Cable Assembly Data 
CABASM-FR		Cable Assembly Flat Ribbon
CABASM-RF		Cable Assembly RF
CABASM-USB		Cable Assembly USB
CAPC			Cap Ceramic	
CAPC-MISC		Cap Ceramic Misc.
CAPC-01005		Cap Ceramic 01005	
CAPC-0201		Cap Ceramic 0201	
CAPC-0402		Cap Ceramic 0402		
CAPC-0603		Cap Ceramic 0603		
CAPC-0805		Cap Ceramic 0805		
CAPC-1206		Cap Ceramic 1206		
CAPC-1210		Cap Ceramic 1210	 
CAPC-NOMAG		Cap Ceramic non-magnetic
CAPE-AL-GP		Cap Elect. General Purpose		
CAPE-AL-LZ		Cap Elect. Low Impedance 		
CAPE-AL-SP		Cap Elect. Solid Polymer		
CAPF			Cap Film
CAPF-01005		Cap Film 01005	
CAPF-0201		Cap Film 0201	
CAPF-0402		Cap Film 0402		
CAPF-0603		Cap Film 0603		
CAPF-0805		Cap Film 0805		
CAPF-1206		Cap Film 1206
CAP-KIT		Cap kit
CAP-SUPER		Cap supercapacitor
CAPT			Cap Tantalum
CAP-VAR		Cap Var.
CHM			Chemical Other
CHM-ADHV		Chemical Adhesive Glue
CHM-EPXY		Chemical Epoxy
CHM-FLUX		Chemical Flux
CHM-SOLDER		Chemical Solder
CHM-SOLV		Chemical Solvent
CIR-BRK		Circuit Breakers
CON   		Connector Other
CON-025		Connector .025sq
CON-2MM		Connector 2mm
CON-CIR		Connector Circular
CON-D			Connector D Series
CON-FLEX		Connector Flex FFC
CON-FMC		Connector FMC
CON-FO		Connector Fiber Optic
CON-RECT		Connector Rectangular
CON-RF		Connector RF BNC N SMA SMB SMC SMP MCX MMCX UFL
CON-RF-ADPT	Connector RF Between series adapter
CON-RJ		Connector RJ Series
CON-SKT		Connector Socket
CON-PIN		Connector Pins
CON-PWR 		Connector Power
CON-SPRING		Connector springy compression pogo
CON-USB		Connector USB
CON-SHUNT		Connector Shunt jumper
CRY-OSC		Crystal Oscillator XTAL
D-PIN			Diodes PIN
D-PN			Diodes PN Junction
D-PNUF		Diodes PN Fast & Ultra
D-SHTKY		Diode Schottky
D-TVS		Diode TVS ESD
D-ZENER		Diode Zener
EM-BUZZ		Electromechanical Buzzer
EM-SPKR		Electromechanical Speaker
EM-MOT		Electromechanical Motor
FOOTPRINT   	Foot print footprint  
FUSE			Fuses
FUSE-PTC		Fuses PTC
FBEAD     		Ferrite Bead
HDW			Hardware Other
HDW-#0		Hardware #0
HDW-#2		Hardware #2
HDW-#4		Hardware #4
HDW-#6		Hardware #6
HDW-#8		Hardware #8
HDW-#10		Hardware #10
HDW-M1		Hardware 1.0mm
HDW-M1.2		Hardware 1.2mm
HDW-M1.6		Hardware 1.6mm
HDW-M2		Hardware 2.0mm
HDW-M2.5		Hardware 2.5mm
HDW-M3		Hardware 3.0mm
HDW-M4		Hardware 4.0mm
HDW-M5		Hardware 5.0mm
HDW-M6		Hardware 6.0mm
HDW-BOX		Hardware Box Enclosure Case
HDW-BUMP		Hardware Bumpers Feet
HDW-BUSH		Hardware Bushing
HDW-CLIP		Hardware Clips
HDW-EYE		Hardware Eyelets
HDW-GROM		Hardware Grommets
HDW-HTSHRK		Hardware Heat shrink tubing
HDW-LABL		Hardware Labels
HDW-PIN		Hardware dowel registers pin pins
HDW-RIVET		Hardware Rivets
HDW-SEW		Hardware Needles zippers eye hooks snaps
HDW-SPACE		Hardware Spacer
HDW-STAND		Hardware Standoff
HDW-TAPE		Hardware Tapes Tape
HDW-TIES		Hardware Ties
HDW-TUBE		Hardware Tubing
HDW-VELCRO		Hardware Velcro 
HEAT-SINK		Heat Sinks
IC			IC
IND			Inductors
IND-0402		Inductors Chip 0402
IND-0603		Inductors Chip 0603
IND-0805		Inductors Chip 0805
IND-1206		Inductors Chip 1206
IND-DRUM		Inductors DRUM
IND-NOMAG		Inductors non-magnetic air core
IND-Chip		Inductors Chip Misc
LED			Leds
MAT-PCB		Materials PCB Substrate Pyralux Duroid 
MAT-METAL		Materials Aluminum Steel Copper metal conductor
MAT-INS		Materials Nylon Plastic Ultem G10 FR4 PEEK PET Acrylic 		Mylar insulator
MAT-FABRIC		Materials Fabric Kevlar Nomex Cotton
MOD			Modules Eval Dongle
ORG			Organizer bins drawers cabinet tote
OPTO			Opto Parts - Isolators LCD Display
PCB			PCB 
Q-NPN			Transistor NPN
Q-PNP			Transistor PNP
Q-NJFET		Transistor N Channel JFET
Q-PJFET		Transistor P Channel  JFET
Q-NMOS		Transistor N Channel MOSFET
Q-PMOS		Transistor P Channel MOSFET
RES			Resistor
RES-1/4W		Resistor 1/4W 1%>>90%
RES-1/2W		Resistor 1/2W 1%>>90%
RES-1W		Resistor 1W  1%>>90%
RES-2W		Resistor 2W  1%>>90%
RES-3W		Resistor 3W  1%>>90%
RES-5W		Resistor 5W  1%>>90%
RES-10W  		Resistor 10W 1%>>90%
RES-NWRK		Resistor Network
R.1%-01005		Res Chip .1% 01005
R.1%-0201		Res Chip .1% 0201
R.1%-0402		Res Chip .1% 0402
R.1%-0603		Res Chip .1% 0603
R.1%-0805		Res Chip .1% 0805
R.1%-1206		Res Chip .1% 1206
R.1%-1210		Res Chip .1% 1210
R.1%-2512		Res Chip .1% 2512
R.1%			Resistor .1% Misc
R.5%-01005		Res Chip .5% 01005
R.5%-0201		Res Chip .5% 0201
R.5%-0402		Res Chip .5% 0402
R.5%-0603		Res Chip .5% 0603
R.5%-0805		Res Chip .5% 0805
R.5%-1206		Res Chip .5% 1206
R.5%-1210		Res Chip .5% 1210
R.5%-2512		Res Chip .5% 2512
R.5%			Resistor .5% Misc
R1%-01005		Res Chip 1% 01005
R1%-0201		Res Chip 1% 0201
R1%-0402		Res Chip 1% 0402
R1%-0603		Res Chip 1% 0603
R1%-0805		Res Chip 1% 0805
R1%-1206		Res Chip 1% 1206
R1%-1210		Res Chip 1% 1210
R1%-1508		Res Chip 1% 1508
R1%-2512		Res Chip 1% 2512
R1%			Resistor 1% Misc	
R5%-01005		Res Chip 5% 01005
R5%-0201		Res Chip 5% 0201
R5%-0402		Res Chip 5% 0402
R5%-0603		Res Chip 5% 0603
R5%-0805		Res Chip 5% 0805
R5%-1206		Res Chip 5% 1206
R5%-1210		Res Chips 5% 1210
R5%-2512		Res Chip 5% 2512
R5%	        	Resistor 5% Misc	
RES-KIT		Res kit
RVAR			Var. Res.
RVAR-3MM		Var. Res. 3mm
RVAR-4MM		Var. Res. 4mm
RVAR-5MM		Var. Res. 5mm
RVAR-6MM		Var. Res. 6mm
RLY			Relay
SW			Switch
SW-ARRAY		Switch Array (DIP)
SW-PUSH		Switch Push Button
SW-TOGL		Switch Toggle
TA-MOV		Transient Absorber Metal Oxide MOV
TA-OTHER		Transient Absorber
TASIL			Transient Absorber Silicon 
TASIL-BI		Transient Absorber Silicon  Bidirectional
TASIL-UI		Transient Absorber Silicon  Unidirectional
TEST-PT		Test Point Testpoint
TEST-LEAD		Test lead clip probe grabber
THY-DIAC		Thyristor DIAC
THY-TRIAC		Thyristor TRIAC
THY-SCR		Thyristor SCR
TOOL 			Tool other
TOOL-CRIMP		Tool Crimp
TOOL-CUSTOM	Tool Custom probe fixture
TOOL-EXTRACT 	Tool Pin extraction
TOOL-HAND		Tool Hand
TOOL-LABEL		Tool Labeler
TOOL-MEAS		Tool Measure Caliper Ruler Tape
TOOL-PWR		Tool Power
TOOL-SOLDER	Tool Solder iron tips
TOOL-STRIP		Tool Wire stripper
TOOL-VISE		Tool Vise holder third hand
TOOL-LAMP		Tool Gooseneck fiber optic light
TOOL-uSCOPE	Tool Microscope magnifying glass
VAR-PTC		Varistor PTC
VAR-NTC		Varistor NTC
WIRE-COAX		Wire Coax
WIRE-COAX-NOMAG	Wire Coax non-magnetic
WIRE-SOLID		Wire Solid
WIRE-STRAN		Wire Stranded
XFORM			Transformer
XF-ACPWR		Transformer AC Power
XF-EFD		Transformer EFD Series
XF-PULSE		Transformer Pulse
XF-RF			Transformer RF


